电影代码: 00100072025, 电影名: 哪吒之魔童闹海, 上映天数: 34
[<0.1, 0.00%, 0.01%, 6]
[0.12, 0.00%, 0.01%, 5]
[0.14, 0.00%, 0.01%, 4]
[<0.1, 0.00%, 0.01%, 3]
[<0.1, 0.00%, 0.01%, 2]
[<0.1, 0.00%, 0.01%, 1]
[<0.1, 0.00%, 0.01%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00104042024, 电影名: 误判, 上映天数: 62
[0.10, 0.00%, 0.01%, 2]
[<0.1, 0.00%, 0.01%, 1]
[<0.1, 0.00%, 0.01%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[0.18, 0.00%, 0.01%, 4]
[0.19, 0.00%, 0.01%, 3]
[0.17, 0.00%, 0.01%, 2]
[<0.1, 0.00%, 0.01%, 1]
[<0.1, 0.00%, 0.01%, 0]
[0.14, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[0.20, 0.00%, 0.01%, 3]
[0.22, 0.00%, 0.01%, 2]
[0.28, 0.00%, 0.01%, 1]
[0.23, 0.00%, 0.01%, 0]
[0.35, 0.00%, 0.01%, 6]
[0.39, 0.00%, 0.01%, 5]
[0.27, 0.00%, 0.00%, 4]
[0.32, 0.00%, 0.01%, 3]
[0.43, 0.00%, 0.00%, 2]
[0.61, 0.00%, 0.01%, 1]
[0.80, 0.00%, 0.01%, 0]
[0.74, 0.00%, 0.00%, 6]
电影代码: 05102072024, 电影名: 狮子王：木法沙传奇, 上映天数: 67
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 3]
[0.23, 0.00%, 0.01%, 2]
[<0.1, 0.00%, 0.01%, 1]
[0.13, 0.00%, 0.01%, 0]
[0.86, 0.00%, 0.01%, 6]
[0.53, 0.00%, 0.01%, 5]
[0.19, 0.00%, 0.00%, 4]
[0.65, 0.00%, 0.01%, 3]
[0.51, 0.00%, 0.01%, 2]
[0.52, 0.00%, 0.02%, 1]
[0.65, 0.00%, 0.01%, 0]
[1.15, 0.00%, 0.01%, 6]
[0.92, 0.00%, 0.01%, 5]
[0.77, 0.00%, 0.02%, 4]
[0.91, 0.00%, 0.01%, 3]
[1.13, 0.00%, 0.01%, 2]
[1.93, 0.00%, 0.01%, 1]
[2.37, 0.00%, 0.01%, 0]
[2.50, 0.00%, 0.01%, 6]
电影代码: 00102112023, 电影名: 在他乡, 上映天数: 34
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 1]
电影代码: 00102082021, 电影名: 刮大风, 上映天数: 88
[0.60, 0.00%, 0.00%, 6]
电影代码: 00103172024, 电影名: 华侨女英雄李林, 上映天数: 37
[0.42, 0.00%, 0.00%, 5]
电影代码: 00103142024, 电影名: 春风梦, 上映天数: 67
[<0.1, 0.00%, 0.00%, 5]
[0.20, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00104702024, 电影名: 好东西, 上映天数: 92
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[0.34, 0.00%, 0.00%, 4]
[0.13, 0.00%, 0.00%, 3]
[0.11, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[0.15, 0.00%, 0.00%, 6]
[0.24, 0.00%, 0.00%, 5]
[0.17, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[0.16, 0.00%, 0.00%, 2]
[0.13, 0.00%, 0.00%, 1]
[0.12, 0.00%, 0.00%, 0]
[0.33, 0.00%, 0.00%, 6]
[0.27, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[0.18, 0.00%, 0.00%, 3]
[0.28, 0.00%, 0.00%, 2]
[0.39, 0.00%, 0.00%, 1]
[0.64, 0.00%, 0.00%, 0]
[0.43, 0.00%, 0.00%, 6]
电影代码: 01201712024, 电影名: 完美的日子, 上映天数: 99
[0.12, 0.00%, 0.00%, 0]
[0.31, 0.00%, 0.00%, 6]
[0.42, 0.00%, 0.00%, 5]
[0.20, 0.00%, 0.00%, 4]
[0.15, 0.00%, 0.00%, 3]
[0.36, 0.00%, 0.00%, 2]
[0.12, 0.00%, 0.00%, 1]
[0.27, 0.00%, 0.00%, 0]
[0.53, 0.00%, 0.00%, 6]
[0.42, 0.00%, 0.00%, 5]
[0.19, 0.00%, 0.00%, 4]
[0.30, 0.00%, 0.00%, 3]
[0.25, 0.00%, 0.00%, 2]
[0.23, 0.00%, 0.00%, 1]
[0.32, 0.00%, 0.00%, 0]
[0.45, 0.00%, 0.00%, 6]
[0.15, 0.00%, 0.00%, 4]
[0.13, 0.00%, 0.00%, 3]
[0.16, 0.00%, 0.00%, 2]
[0.23, 0.00%, 0.00%, 1]
[0.10, 0.00%, 0.00%, 0]
[0.29, 0.00%, 0.00%, 6]
[0.23, 0.00%, 0.00%, 5]
[0.21, 0.00%, 0.00%, 4]
[0.20, 0.00%, 0.00%, 3]
[0.22, 0.00%, 0.00%, 2]
[0.10, 0.00%, 0.00%, 1]
[0.24, 0.00%, 0.00%, 0]
[0.33, 0.00%, 0.00%, 6]
电影代码: 00101292024, 电影名: 阁楼, 上映天数: 71
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[0.16, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 05101762024, 电影名: 角斗士2, 上映天数: 91
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 5]
电影代码: 00106832023, 电影名: 一台好戏, 上映天数: 61
[<0.1, 0.00%, 0.00%, 1]
电影代码: 07801802024, 电影名: 波提切利，佛罗伦萨和美第奇家族, 上映天数: 66
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[0.78, 0.00%, 0.00%, 2]
[0.52, 0.00%, 0.00%, 1]
[0.63, 0.00%, 0.00%, 0]
[1.36, 0.00%, 0.00%, 6]
[0.69, 0.00%, 0.00%, 5]
[0.40, 0.00%, 0.00%, 4]
[0.64, 0.00%, 0.00%, 3]
[0.60, 0.00%, 0.00%, 2]
[0.42, 0.00%, 0.00%, 1]
[1.40, 0.00%, 0.00%, 0]
[1.05, 0.00%, 0.00%, 6]
电影代码: 00105062024, 电影名: 胜券在握, 上映天数: 93
[<0.1, 0.00%, 0.00%, 5]
电影代码: 00105832024, 电影名: 盛世如愿, 上映天数: 54
[0.15, 0.00%, 0.00%, 4]
电影代码: 00201662024, 电影名: 我谈的那场恋爱, 上映天数: 92
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00106872023, 电影名: 雪牦牛, 上映天数: 56
[0.26, 0.00%, 0.00%, 3]
[0.21, 0.00%, 0.00%, 2]
[0.31, 0.00%, 0.00%, 1]
[0.36, 0.00%, 0.00%, 0]
[0.24, 0.00%, 0.00%, 6]
电影代码: 00106612023, 电影名: 钱来钱去, 上映天数: 56
[<0.1, 0.00%, 0.00%, 3]
电影代码: 00105972024, 电影名: 孤星计划, 上映天数: 69
[<0.1, 0.00%, 0.00%, 3]
[0.26, 0.00%, 0.00%, 3]
[1.44, 0.00%, 0.00%, 2]
电影代码: 01901832024, 电影名: 因果报应, 上映天数: 76
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 3]
[0.16, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
电影代码: 05101782024, 电影名: 海洋奇缘2, 上映天数: 76
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[0.14, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 5]
[0.11, 0.00%, 0.00%, 4]
[0.16, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[0.35, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 05101872024, 电影名: 魔法坏女巫, 上映天数: 68
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00103682024, 电影名: 女人世界, 上映天数: 99
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
电影代码: 00103692024, 电影名: 伟大征程, 上映天数: 99
[0.72, 0.01%, 0.00%, 4]
[1.46, 0.02%, 0.00%, 3]
[1.06, 0.01%, 0.00%, 2]
[1.29, 0.01%, 0.00%, 1]
[0.82, 0.01%, 0.00%, 0]
[0.74, 0.00%, 0.00%, 6]
[0.74, 0.00%, 0.00%, 5]
[2.12, 0.01%, 0.00%, 4]
[0.61, 0.00%, 0.00%, 3]
[1.11, 0.01%, 0.00%, 2]
[1.13, 0.01%, 0.00%, 1]
[1.16, 0.01%, 0.00%, 0]
[0.90, 0.00%, 0.00%, 6]
[0.43, 0.00%, 0.00%, 5]
[0.64, 0.00%, 0.00%, 4]
[1.04, 0.00%, 0.00%, 3]
[0.42, 0.00%, 0.00%, 2]
[0.46, 0.00%, 0.00%, 1]
[0.92, 0.00%, 0.00%, 0]
[0.91, 0.00%, 0.00%, 6]
[0.62, 0.00%, 0.00%, 5]
[0.74, 0.00%, 0.00%, 4]
[1.37, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 01201642024, 电影名: 如父如子, 上映天数: 63
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 1]
电影代码: 00102132024, 电影名: 凤鸣飞天, 上映天数: 99
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
电影代码: 05101962024, 电影名: 爆裂鼓手, 上映天数: 62
[<0.1, 0.00%, 0.00%, 2]
[0.23, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 01201632024, 电影名: 火影忍者剧场版：忍者之路, 上映天数: 89
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
电影代码: 01201612024, 电影名: 最后的里程, 上映天数: 88
[<0.1, 0.00%, 0.00%, 1]
电影代码: 00104952024, 电影名: 鸳鸯楼·惊魂, 上映天数: 95
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 6]
