电影代码: 00100072025, 电影名: 哪吒之魔童闹海, 上映天数: 34
[27.58, 0.07%, 0.02%, 6]
[25.64, 0.04%, 0.01%, 5]
[24.82, 0.09%, 0.01%, 4]
[18.35, 0.12%, 0.01%, 3]
[3.56, 0.02%, 0.01%, 2]
[3.22, 0.02%, 0.01%, 1]
[3.66, 0.02%, 0.01%, 0]
[3.62, 0.01%, 0.00%, 6]
[3.23, 0.00%, 0.00%, 5]
[3.08, 0.00%, 0.00%, 4]
[2.48, 0.01%, 0.01%, 3]
[1.73, 0.00%, 0.01%, 2]
[1.62, 0.00%, 0.01%, 1]
[<0.1, 0.00%, 0.01%, 0]
[<0.1, 0.00%, 0.01%, 6]
[<0.1, 0.00%, 0.01%, 5]
[<0.1, 0.00%, 0.00%, 4]
[0.32, 0.00%, 0.00%, 3]
[0.53, 0.00%, 0.00%, 2]
[0.43, 0.00%, 0.00%, 1]
[0.66, 0.00%, 0.00%, 0]
[6.79, 0.01%, 0.00%, 6]
电影代码: 00105952024, 电影名: 误杀3, 上映天数: 66
[4.35, 0.10%, 0.16%, 0]
[7.62, 0.04%, 0.11%, 6]
[8.52, 0.03%, 0.09%, 5]
[5.65, 0.04%, 0.14%, 4]
[6.56, 0.09%, 0.20%, 3]
[6.42, 0.08%, 0.19%, 2]
[6.20, 0.07%, 0.17%, 1]
[6.15, 0.06%, 0.16%, 0]
[10.47, 0.03%, 0.12%, 6]
[10.98, 0.02%, 0.09%, 5]
[7.98, 0.03%, 0.14%, 4]
[7.77, 0.05%, 0.19%, 3]
[7.94, 0.04%, 0.17%, 2]
[7.59, 0.04%, 0.15%, 1]
[7.00, 0.03%, 0.12%, 0]
[6.86, 0.01%, 0.07%, 6]
[7.09, 0.01%, 0.05%, 5]
[7.36, 0.01%, 0.04%, 4]
[8.77, 0.02%, 0.16%, 3]
[10.60, 0.02%, 0.15%, 2]
[10.76, 0.02%, 0.15%, 1]
[10.60, 0.02%, 0.14%, 0]
[12.00, 0.01%, 0.12%, 6]
[11.81, 0.02%, 0.13%, 5]
[10.28, 0.02%, 0.13%, 4]
[10.34, 0.01%, 0.12%, 3]
[12.22, 0.01%, 0.11%, 2]
[11.72, 0.01%, 0.09%, 1]
[12.84, 0.01%, 0.08%, 0]
[10.32, 0.01%, 0.07%, 6]
电影代码: 00106102024, 电影名: 雄狮少年2, 上映天数: 80
[3.03, 0.07%, 0.11%, 0]
[17.94, 0.10%, 0.12%, 6]
[19.29, 0.07%, 0.10%, 5]
[4.51, 0.04%, 0.08%, 4]
[4.68, 0.06%, 0.10%, 3]
[5.25, 0.07%, 0.10%, 2]
[4.29, 0.05%, 0.09%, 1]
[4.68, 0.05%, 0.08%, 0]
[19.38, 0.05%, 0.08%, 6]
[21.67, 0.04%, 0.07%, 5]
[6.85, 0.03%, 0.07%, 4]
[5.60, 0.04%, 0.08%, 3]
[4.86, 0.03%, 0.07%, 2]
[4.98, 0.02%, 0.07%, 1]
[4.90, 0.02%, 0.05%, 0]
[12.12, 0.02%, 0.05%, 6]
[9.03, 0.01%, 0.03%, 5]
[2.50, 0.00%, 0.03%, 4]
[14.63, 0.03%, 0.04%, 3]
[5.30, 0.01%, 0.03%, 2]
[5.07, 0.01%, 0.03%, 1]
[3.63, 0.01%, 0.02%, 0]
[21.02, 0.02%, 0.03%, 6]
[5.00, 0.01%, 0.02%, 5]
[3.29, 0.00%, 0.02%, 4]
[3.75, 0.00%, 0.02%, 3]
[4.78, 0.01%, 0.02%, 2]
[6.31, 0.01%, 0.02%, 1]
[5.04, 0.00%, 0.01%, 0]
[3.64, 0.00%, 0.01%, 6]
电影代码: 00202002024, 电影名: 破·地狱, 上映天数: 80
[1.49, 0.03%, 0.04%, 0]
[3.20, 0.02%, 0.03%, 6]
[3.23, 0.01%, 0.03%, 5]
[1.56, 0.01%, 0.03%, 4]
[1.33, 0.02%, 0.03%, 3]
[1.54, 0.02%, 0.03%, 2]
[2.04, 0.02%, 0.03%, 1]
[1.53, 0.02%, 0.02%, 0]
[3.01, 0.01%, 0.02%, 6]
[2.63, 0.00%, 0.01%, 5]
[1.76, 0.01%, 0.02%, 4]
[2.01, 0.01%, 0.03%, 3]
[1.33, 0.01%, 0.02%, 2]
[1.32, 0.01%, 0.02%, 1]
[1.57, 0.01%, 0.02%, 0]
[2.16, 0.00%, 0.01%, 6]
